3291871McRinn         Christabel120190301100000000058402000092846000915346
1218938Parratt        Hugh      320201201100000000089601000030742000808291
8052063Dunthorn       Andras    320191015100000000011901000027242000638222
7960814Templar        Mickey    220180415075000000049402000038667000401024
4960878Klimentov      Cele      220190115075000000035501000092450000606224
1361202Danhel         Dasha     120190715100000000071402000024041000437364
0113313Busswell       Essy      320190201100000000096801000071906000641747
1392718Rodders        Ursola    220201015075000000020402000062109000579933
7112160Caddock        Truda     220191001075000000095701000075744000588102
5209136Mebius         Kent      320180101075000000076902000058595000743144
5362484Tapton         Moishe    120190701075000000053201000030593000601297
8285113Cottham        Jillane   320190415100000000038802000053986000721194
5149171Papis          Sasha     320200515075000000002901000070163000901744
8626100McIlenna       Griffy    320200115100000000016602000058300000166663
9865620Lebbern        Drona     220191101075000000089801000020501000024804
4026129Wellstood      Kirby     320180501100000000066902000042270000642561
3246055Tinkham        Roxana    320200515100000000053902000093514000082512
5578475Acors          Ced       220190115100000000094602000009744000056994
4858997Ruegg          Edik      320181215075000000084702000085953000911301
8773255Wheelhouse     Pen       320190201075000000076502000060108000520663
3299092Kahler         Claudina  220190215075000000088101000074351000864906
8082064Aysik          Gaylord   320180501075000000043101000089513000068781
6663995Youles         Martina   220190801100000000099201000046646000960772
6063031Daveran        Roxie     320190901100000000070902000054499000713086
3026998Getsham        Bjorn     220200215100000000035502000094837000840462
4239479Lomasny        Ebba      120200801075000000087701000064990000740399
9748797Dando          Abe       220200301075000000041802000055486000960309
0295656Ferfulle       Nils      220190115100000000005101000080544000680302
4042404Vogeller       Ferrell   220180301075000000023902000044386000394241
1635346Roelofs        Karrie    220190301100000000028502000049960000164113
8050592Sorton         Shaina    220190801075000000046101000094184000557807
6901541Tripean        Johannes  320190615075000000004401000011361000695107
9510741Fiddiman       Mattie    320200701100000000014302000009923000012238
6660206Steele         Lynsey    120200315100000000008302000093352000167199
6266066Budget         Lydie     220200601075000000011401000061851000952934
3716179Thridgould     Everard   120190615075000000035402000062206000635308
5877761Catherick      Reta      320190901100000000048502000008193000912423
2701909MacGillespie   Dewey     320200201100000000099202000005721000822592
3926327Cusiter        Renaud    320191101075000000011902000095818000760608
8497567Barron         Lynelle   120180901075000000046101000091558000481130
2108873Jaycox         Darya     320200801075000000058901000080047000875540
7723937O'Regan        Zulema    320180615075000000038801000027727000620871
9208274McReath        Adah      120181115075000000019601000086102000006902
6651875Plumer         Jennee    320181001075000000002601000049239000733414
3484888Pendered       Tracee    120180901075000000066002000062585000720149
5499074Budgeon        Ron       120190815100000000029102000087056000824722
6048592Dashkov        Robinetta 120190515100000000090502000014913000206119
3605456Fasse          Austina   120200415075000000072102000060390000915042
3719763Klimkowski     Arvie     120201215075000000074902000096644000167094
8472837Littleover     Janean    320200715100000000045302000042855000162132
6008098Maidment       Courtney  120180101100000000085202000093770000546866
2650116Leetham        Guy       120181201075000000022002000086881000322194
5614306Stag           Tessie    320180401100000000064801000034197000739652
3594599McGibbon       Janel     220190101100000000016901000027443000700274
8331000Velten         Andree    220200601075000000054602000021777000774303
1068365DelaField      Guenevere 320190815100000000039802000031439000968520
5446971Briatt         Ignacius  220180215075000000018002000096932000905546
5409618Addey          Ben       220181115100000000026402000040038000813612
1853742Mosedill       Hector    320181015075000000045901000065707000151488
8542670Rudolfer       Packston  320201215075000000039401000035051000613955
3193263Surgison       Dale      120180115075000000047301000050113000318900
6766578Teggart        Ricard    120181015100000000010301000082157000240609
3563069Rivelon        Katrinka  320180615100000000060702000000396000733607
5832137Parlett        Forest    220191015100000000099102000077431000556519
